loc_country,loc_city,phrase
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,I have arrived to a holy place
Israel,Jerusalem,I have arrived to the capital
Israel,Tel Aviv,I have arrived to the main city
Israel,Tel Aviv,I have arrived to the all time action city
Israel,Tel Aviv,I have arrived to a city 24/7
Israel,Haifa,I have arrived to the biggest large city
Israel,Haifa,I have arrived to the carmel
Israel,Ashqelon,I have arrived to a very old city
Israel,Taberias,I have arrived to the biggest lake in Israel
Israel,BeerSheva,I have arrived to the biggest south city
Israel,Jerusalem,arrived to a holy place
Israel,Jerusalem,arrived to the capital
Israel,Tel Aviv,arrived to the main city
Israel,Tel Aviv,arrived to the all time action city
Israel,Tel Aviv,arrived to a city 24/7
Israel,Haifa,arrived to the biggest large city
Israel,Haifa,arrived to the carmel
Israel,Ashqelon,arrived to a very old city
Israel,Taberias,arrived to the biggest lake in Israel
Israel,BeerSheva,arrived to the biggest south city
Israel,Jerusalem,arrived to a holy place
Israel,Jerusalem,arrived to the capital
Israel,Tel Aviv,arrived to the main city
Israel,Tel Aviv,arrived to the all time action city
Israel,Tel Aviv,arrived to a city 24/7
Israel,Haifa,arrived to the biggest large city
Israel,Haifa,arrived to the carmel
Israel,Ashqelon,arrived to a very old city
Israel,Taberias,arrived to the biggest lake in Israel
Israel,BeerSheva,arrived to the biggest south city
